club_id,lat,lon,geo_query,lat_check,lon_check,dist_km,flag
2687,36.5028,-6.2733,reczna korekta,36.5028,-6.2733,0,FALSE
993,37.859,-4.7596,reczna korekta,37.859,-4.7596,0,FALSE
897,43.3692,-8.4119,reczna korekta,43.3692,-8.4119,0,FALSE
1531,38.2667,-0.665,reczna korekta,38.2667,-0.665,0,FALSE
714,40.4211638,-3.7117889,"Espanyol, Spain",40.4211638,-3.7117889,0,FALSE
16795,37.1736374,-3.5993469,"Granada CF, Spain",37.1736374,-3.5993469,0,FALSE
3368,38.6453115,-0.9266378,"Levante, Spain",38.6453115,-0.9266378,0,FALSE
1084,36.74,-4.4258,reczna korekta,36.74,-4.4258,0,FALSE
237,39.5698469,2.6494492,"RCD Mallorca, Spain",39.5698469,2.6494492,0,FALSE
367,40.3765566,-3.6142162,"Rayo Vallecano, Spain",40.3765566,-3.6142162,0,FALSE
150,37.3862689,-5.9942194,"Real Betis, Spain",37.3862689,-5.9942194,0,FALSE
418,40.4199798,-3.7035925,"Real Madrid, Spain",40.4199798,-3.7035925,0,FALSE
2497,43.3618265,-5.8590734,"Real Oviedo, Spain",43.3618265,-5.8590734,0,FALSE
681,43.3218553,-1.9833251,"Real Sociedad, Spain",43.3218553,-1.9833251,0,FALSE
142,41.6558189,-0.8795515,"Real Zaragoza, Spain",41.6558189,-0.8795515,0,FALSE
1533,43.1843316,-2.472398,"SD Eibar, Spain",43.1843316,-2.472398,0,FALSE
5358,42.1361,-0.4089,reczna korekta,42.1361,-0.4089,0,FALSE
368,37.3886303,-5.9953403,"Sevilla FC, Spain",37.3886303,-5.9953403,0,FALSE
2448,43.4976518,-5.6811121,"Sporting Gijón, Spain",43.4976518,-5.6811121,0,FALSE
3302,36.84,-2.435,reczna korekta,36.84,-2.435,0,FALSE
472,28.0022552,-15.4057081,"UD Las Palmas, Spain",28.0022552,-15.4057081,0,FALSE
